display_order,imdb_id,title
1,tt0168366,Pokémon
2,tt0214341,Dragon Ball Z
3,tt0103359,Batman: The Animated Series
4,tt0112175,Spider-Man
5,tt0103584,X-Men
6,tt0101188,Les Razmoket
7,tt0101084,Doug
8,tt0106064,Power Rangers
9,tt0115200,Hé Arnold !
10,tt0105941,Animaniacs
11,tt0112123,Minus et Cortex
12,tt0108783,"Gargoyles, les anges de la nuit"
13,tt0092345,La Bande à Picsou
14,tt0096557,"Tic et Tac, les rangers du risque"
15,tt0101076,Myster Mask
16,tt0098924,Super Baloo
17,tt0103428,La Bande à Dingo
18,tt0138967,Hercule
19,tt0112197,Timon et Pumbaa
20,tt0126170,La Cour de récré
21,tt0088509,Dragon Ball
22,tt0103369,Sailor Moon
23,tt0161952,Les Chevaliers du Zodiaque
24,tt0096686,Ranma ½
25,tt0159208,Nicky Larson
26,tt0131179,Détective Conan
27,tt0294023,Olive et Tom
28,tt0091211,Ken le Survivant
29,tt0179552,Les Aventures de Tintin
30,tt0085033,Inspecteur Gadget
31,tt0094469,Garfield et ses amis
32,tt0106140,Sonic
33,tt0222518,Les Aventures de Sonic
34,tt0230804,Sonic le Rebelle
35,tt0096707,The Super Mario Bros. Super Show!
36,tt0108847,Le Bus magique
37,tt0169414,Arthur
38,tt0098929,Les Tiny Toons
39,tt0053488,The Bugs Bunny Show
40,tt0282315,Tom et Jerry
41,tt0063950,"Scooby-Doo, où es-tu ?"
42,tt0090506,SOS Fantômes
43,tt0121932,Extreme Ghostbusters
44,tt0112064,The Mask
45,tt0096543,Beetlejuice
46,tt0111970,Freakazoid!
47,tt0111948,Earthworm Jim
48,tt0147752,Biker Mice from Mars
49,tt0131190,Ulysse 31
50,tt0122356,Les Mystérieuses Cités d'or
51,tt0264244,Il était une fois... l'Homme
52,tt0284735,Il était une fois... la Vie
53,tt0081933,Les Schtroumpfs
54,tt0156200,Babar
55,tt0074028,Maya l'abeille
56,tt0283721,David le gnome
57,tt0088500,Comte Mordicus
58,tt0098763,Capitaine Planète
59,tt0190178,"Denver, le dernier dinosaure"
60,tt0213377,Widget
61,tt0085011,Le Sourire du dragon
62,tt0315429,Conan l'Aventurier
63,tt0100366,Pingu
64,tt0286336,Les Animaux du Bois de Quat'sous
65,tt0203254,Franklin
66,tt0136658,Couacs en vrac
67,tt0115269,Mighty Ducks
68,tt0213334,Bonkers
69,tt0088528,Les Gummi
70,tt0108921,Le Monde secret d'Alex Mack
71,tt0112174,Les Maîtres des sortilèges
72,tt0103529,Les Twist
73,tt0103352,Fais-moi peur !
74,tt0111987,Chair de poule
75,tt0096694,Sauvés par le gong
76,tt0098888,Parker Lewis ne perd jamais
77,tt0105958,Incorrigible Cory
78,tt0115341,"Sabrina, l'apprentie sorcière"
79,tt0092359,La Fête à la maison
80,tt0098800,Le Prince de Bel-Air
81,tt0101205,Notre belle famille
82,tt0096579,La Vie de famille
83,tt0101050,Blossom
84,tt0090390,Alf
85,tt0086787,Punky Brewster
86,tt0077003,Arnold et Willy
87,tt0350395,C'est pas sorcier
88,tt0213363,Oggy et les Cafards
89,tt0118343,Les Zinzins de l'espace
90,tt1176258,Albert le cinquième mousquetaire
91,tt0416401,Papyrus
92,tt0122836,Spirou
93,tt0213376,Où est Charlie ?
94,tt0185066,Galaxy Express 999
95,tt0196288,Salut les Musclés
96,tt0172009,Hélène et les garçons
97,tt0172040,Premiers Baisers
98,tt0172026,Le Miel et les Abeilles
99,tt0170934,Les Filles d'à côté
100,tt0364878,Sophie et Virginie
101,tt0296416,Blanche-Neige
102,tt0115378,Superman: The Animated Series
103,tt0105935,Aladdin
104,tt1194638,Pif et Hercule
105,tt0101081,Dinosaures
106,tt0096591,"Nadia, le secret de l'eau bleue"
