display_order,imdb_id,title
1,tt26446278,Le Comte de Monte-Cristo
2,tt26339106,Je verrai toujours vos visages
3,tt1675434,Intouchables
4,tt0054407,Le Trou
5,tt0060474,La Grande Vadrouille
6,tt0054452,La Vérité
7,tt0057591,Les Tontons flingueurs
8,tt0110413,Léon
9,tt0064040,L'Armée des ombres
10,tt0022125,Marius
11,tt0037674,Les Enfants du paradis
12,tt7014378,Le Sommet des dieux
13,tt0032455,La Fille du puisatier
14,tt0211915,Le Fabuleux Destin d'Amélie Poulain
15,tt0113247,La Haine
16,tt0250223,Astérix & Obélix : Mission Cléopâtre
17,tt1235166,Un prophète
18,tt8613070,Portrait de la jeune fille en feu
19,tt17009710,Anatomie d'une chute
20,tt0372824,Les Choristes
21,tt0091288,Jean de Florette
22,tt0091480,Manon des Sources
23,tt0095250,Le Grand Bleu
24,tt0119038,Le Dîner de cons
25,tt2179121,Le Prénom
26,tt0109440,La Cité de la peur
27,tt0084555,Le Père Noël est une ordure
28,tt0078907,Les Bronzés font du ski
29,tt0464913,"OSS 117 : Le Caire, nid d'espions"
30,tt5258850,Au revoir là-haut
31,tt6135348,120 battements par minute
32,tt0808417,Persepolis
33,tt1754656,Le Petit Prince
34,tt1816518,Ernest et Célestine
35,tt0286244,Les Triplettes de Belleville
36,tt0181627,Kirikou et la Sorcière
37,tt0775489,L'Illusionniste
38,tt9806192,J'ai perdu mon corps
39,tt7458762,Le Chant du loup
40,tt10341034,Boîte noire
41,tt0082436,Garde à vue
42,tt0079980,Série noire
43,tt0039739,Quai des Orfèvres
44,tt0048021,Du rififi chez les hommes
45,tt0062229,Le Samouraï
46,tt0065531,Le Cercle rouge
47,tt0054189,Plein soleil
48,tt0051378,Ascenseur pour l'échafaud
49,tt0053198,Les Quatre Cents Coups
50,tt0055032,Jules et Jim
51,tt0053472,À bout de souffle
52,tt0055852,Cléo de 5 à 7
53,tt0052893,Hiroshima mon amour
54,tt0061395,Belle de jour
55,tt0058458,La Peau douce
56,tt0057345,Le Mépris
57,tt0059592,Pierrot le Fou
58,tt0031885,La Règle du jeu
59,tt0028950,La Grande Illusion
60,tt0046268,Le Salaire de la peur
61,tt0030643,Le Quai des brumes
62,tt0031514,Le Jour se lève
63,tt0029453,Pépé le Moko
64,tt0043386,Casque d'or
65,tt0046451,Touchez pas au grisbi
66,tt0056636,Un singe en hiver
67,tt0052698,Classe tous risques
68,tt0054821,Le Doulos
69,tt0047892,Bob le flambeur
70,tt0049902,Un condamné à mort s'est échappé
71,tt0053168,Pickpocket
72,tt0061996,Mouchette
73,tt0060138,Au hasard Balthazar
74,tt0085180,L'Argent
75,tt0042619,Journal d'un curé de campagne
76,tt0058985,Le Bonheur
77,tt0089960,Sans toit ni loi
78,tt0099334,Cyrano de Bergerac
79,tt0110963,La Reine Margot
80,tt0111495,Trois couleurs : Rouge
81,tt0108394,Trois couleurs : Bleu
82,tt0111507,Trois couleurs : Blanc
83,tt0101765,La Double Vie de Véronique
84,tt0387898,Caché
85,tt1655442,The Artist
86,tt1068646,Entre les murs
87,tt0450188,La Môme
88,tt2278871,La Vie d'Adèle
89,tt2053425,De rouille et d'os
90,tt1588337,Des hommes et des dieux
91,tt1661420,Polisse
92,tt0362225,Ne le dis à personne
93,tt1259014,Mesrine : L'Instinct de mort
94,tt0411272,Mesrine : L'Ennemi public n° 1
95,tt0390808,36 quai des Orfèvres
96,tt0274117,Sur mes lèvres
97,tt0344510,Un long dimanche de fiançailles
98,tt1149361,Micmacs à tire-larigot
99,tt0101700,Delicatessen
100,tt0112682,La Cité des enfants perdus
